Degree,Early Career Pay,Mid-Career Pay
Petroleum Engineering,$93200,$187300
Operations Research & Industrial Engineering,$84800,$170400
Electrical Engineering & Computer Science (EECS),$108500,$159300
Interaction Design,$68300,$155800
Public Accounting,$59800,$147700
Operations Research,$83500,$147400
Applied Economics and Management,$66100,$146400
Business Computing (BC),$73000,$143600
Actuarial Mathematics,$64300,$143400
Electrical Power Engineering,$76100,$142600
Information & Computer Science,$58600,$140900
Aeronautics & Astronautics,$77600,$139600
Systems Engineering,$77700,$139200
Econometrics,$64200,$139000
Pharmacy,$68600,$138700
Aerospace Studies,$55800,$136600
Building Science,$53800,$135900
Chemical Engineering,$76900,$135900
Cognitive Science,$68700,$135200
Actuarial Science,$67700,$134400
Political Economy,$65100,$133500
Computer Systems Engineering,$79000,$133200
Electrical & Computer Engineering (ECE),$78100,$131600
Computer Science (CS) & Engineering,$79400,$131300
Marine Engineering,$79900,$131300
